Worker ID,작업자 닉네임,data id,점수
83985,NoRae,1,13
83985,NoRae,2,15
83985,NoRae,3,14
180663,미아우,1,11
180663,미아우,2,11
180663,미아우,3,13
268016,후이린,1,14
268016,후이린,2,10
268016,후이린,3,13
268214,리나아,1,14
268214,리나아,2,14
268214,리나아,3,11
275878,labella,1,13
275878,labella,2,13
275878,labella,3,12
303752,sh_319,1,12
303752,sh_319,2,8
303752,sh_319,3,14
364614,Naya1,1,10
364614,Naya1,2,12
364614,Naya1,3,13
429060,써니에,1,13
429060,써니에,2,13
429060,써니에,3,13
457823,pinskr,1,12
457823,pinskr,2,13
457823,pinskr,3,11
509805,양념후라이반반,1,13
509805,양념후라이반반,2,10
509805,양념후라이반반,3,14
512427,양쿠미,1,12
512427,양쿠미,2,10
512427,양쿠미,3,13
528236,치킨무,1,13
528236,치킨무,2,13
528236,치킨무,3,10
529187,Midz,1,12
529187,Midz,2,12
529187,Midz,3,10
541563,후럽,1,12
541563,후럽,2,13
541563,후럽,3,11
563907,sangsangW,1,13
563907,sangsangW,2,12
563907,sangsangW,3,14
574097,꼬들살,1,12
574097,꼬들살,2,9
574097,꼬들살,3,13
579697,zzinbo85,1,11
579697,zzinbo85,2,12
579697,zzinbo85,3,12
580240,아델루나,1,14
580240,아델루나,2,14
580240,아델루나,3,13
605093,Clarky,1,12
605093,Clarky,2,11
605093,Clarky,3,12
605301,엠버로이,1,10
605301,엠버로이,2,11
605301,엠버로이,3,12
639392,프리미어프로,1,12
639392,프리미어프로,2,9
639392,프리미어프로,3,11
639506,퐁당퐁댱,1,12
639506,퐁당퐁댱,2,13
639506,퐁당퐁댱,3,12
639707,리브올,1,13
639707,리브올,2,11
639707,리브올,3,13
640569,아기맹수,1,13
640569,아기맹수,2,12
640569,아기맹수,3,11
